Tanggal;Jenis;Kategori;Jumlah;Deskripsi
01/07/2025;Pemasukan;Gaji;10_000_000;Gaji pokok bulan Juli
02/07/2025;Pengeluaran;Transportasi;200_000;Bensin motor untuk ke kantor
03/07/2025;Pengeluaran;Makanan;150_000;Makan siang kantor
04/07/2025;Pengeluaran;Internet;350_000;Pembayaran WiFi Indihome
05/07/2025;Pemasukan;Freelance;1_500_000;Proyek desain dari klien
06/07/2025;Pengeluaran;Hiburan;120_000;Tiket bioskop
07/07/2025;Pengeluaran;Transportasi;150_000;Grab ke lokasi meeting
08/07/2025;Pengeluaran;Makanan;180_000;Makan malam bersama keluarga
09/07/2025;Pengeluaran;Kesehatan;500_000;Beli vitamin dan obat
10/07/2025;Pemasukan;Bonus;500_000;Bonus dari kantor
